,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
163,learning_rate-1e-05,learning_rate-4e-05,train_batch_size-8,0.9063851699279094,0.812752430347433,4466,4335,469,440,0.9689526546195877,0.9683771548379084
164,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9063851699279094,0.8127477726985053,4460,4341,463,446,0.9686744009697043,0.9680567312119197
52,weight_decay-0.005,train_batch_size-32,train_batch_size-8,0.9063851699279094,0.812756622297782,4469,4332,472,437,0.9691754739307133,0.9685427867191791
40,warmup_ratio-0.2,learning_rate-1e-05,learning_rate-4e-05,0.9063851699279094,0.8127480824066069,4454,4347,457,452,0.9691599658933494,0.9686288805369744
108,train_batch_size-32,learning_rate-4e-05,train_batch_size-8,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9691846599501096,0.9685904281400972
30,warmup_ratio-0.2,dropout-0.2,weight_decay-0.02,0.9062821833161689,0.8125416045908156,4459,4341,463,447,0.9686526557736742,0.9680555067790897
25,warmup_ratio-0.2,dropout-0.05,weight_decay-0.02,0.9062821833161689,0.8125416045908156,4459,4341,463,447,0.9686526557736742,0.9680555067790897
19,warmup_ratio-0.2,default,weight_decay-0.02,0.9062821833161689,0.8125416045908156,4459,4341,463,447,0.9686526557736742,0.9680555067790897
130,dropout-0.05,dropout-0.2,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.968568899643014,0.9679531994530159
110,default,dropout-0.05,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.968568899643014,0.9679531994530159
70,weight_decay-0.005,dropout-0.2,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685990034802496,0.9679483108797595
65,weight_decay-0.005,dropout-0.05,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685990034802496,0.9679483108797595
59,weight_decay-0.005,default,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9685990034802496,0.9679483108797595
115,default,dropout-0.2,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.968568899643014,0.9679531994530159
55,weight_decay-0.005,default,weight_decay-0.02,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9686082319292967,0.9680015399524572
61,weight_decay-0.005,dropout-0.05,weight_decay-0.02,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9686082319292967,0.9680015399524572
66,weight_decay-0.005,dropout-0.2,weight_decay-0.02,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9686082319292967,0.9680015399524572
114,default,dropout-0.05,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9685397929025716,0.9678830930692326
119,default,dropout-0.2,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9685397929025716,0.9678830930692326
134,dropout-0.05,dropout-0.2,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9685397929025716,0.9678830930692326
146,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117184382853506,4459,4337,467,447,0.9687749592420775,0.9681936819025303
136,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117184382853506,4459,4337,467,447,0.9687749592420775,0.9681936819025303
72,weight_decay-0.005,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117184382853506,4459,4337,467,447,0.9687697828246811,0.9681816048714863
121,default,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117184382853506,4459,4337,467,447,0.9687749592420775,0.9681936819025303
141,dropout-0.05,learning_rate-1e-05,train_batch_size-8,0.9057672502574665,0.8115221850708413,4467,4328,476,439,0.9688527327919763,0.9682460866761844
126,default,learning_rate-1e-05,train_batch_size-8,0.9057672502574665,0.8115221850708413,4467,4328,476,439,0.9688527327919763,0.9682460866761844
151,dropout-0.2,learning_rate-1e-05,train_batch_size-8,0.9057672502574665,0.8115221850708413,4467,4328,476,439,0.9688527327919763,0.9682460866761844
74,weight_decay-0.005,weight_decay-0.02,train_batch_size-8,0.9057672502574665,0.8115163549942505,4463,4332,472,443,0.9685604349276812,0.9678486194871714
148,dropout-0.2,weight_decay-0.02,train_batch_size-8,0.905664263645726,0.8113137242160455,4465,4329,475,441,0.9685512276934597,0.9678529218169291
138,dropout-0.05,weight_decay-0.02,train_batch_size-8,0.905664263645726,0.8113137242160455,4465,4329,475,441,0.9685512276934597,0.9678529218169291
123,default,weight_decay-0.02,train_batch_size-8,0.905664263645726,0.8113137242160455,4465,4329,475,441,0.9685512276934597,0.9678529218169291
107,train_batch_size-32,warmup_ratio-0.05,train_batch_size-8,0.9055612770339856,0.8111084869958465,4465,4328,476,441,0.9692987532810851,0.9686835395148835
162,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9055612770339856,0.8111159584221943,4469,4324,480,437,0.9689597403712696,0.968350169462119
77,weight_decay-0.005,learning_rate-1e-05,train_batch_size-8,0.9054582904222451,0.8109002387769871,4463,4329,475,443,0.968830711803216,0.9682004025229489
102,train_batch_size-32,weight_decay-0.02,train_batch_size-8,0.9054582904222451,0.8109016918856072,4464,4328,476,442,0.9691679850973489,0.9684709984914246
157,weight_decay-0.02,learning_rate-1e-05,train_batch_size-8,0.9052523171987642,0.8104912473724885,4464,4326,478,442,0.9687834663870608,0.9680974931574343
