,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
725,corrects-interleaved,larger-batches-larger-learning-rate,mispredictions-appended,0.9054,0.8107625801640935,4608,4446,460,486,0.9679328261780844,0.9688449587884347
163,vinai-preprocessing,mispredictions-interleaved,hardest-appended,0.9054,0.810743984251396,4615,4439,467,479,0.9688680367188979,0.9700681492101471
726,corrects-interleaved,larger-batches-larger-learning-rate,mispredictions-interleaved,0.9054,0.810743984251396,4615,4439,467,479,0.9683323273777884,0.9694333979837682
737,corrects-interleaved,mispredictions-appended,corrects-appended,0.9054,0.8109005299902344,4580,4474,432,514,0.9675860436112539,0.9685706657144111
759,corrects-interleaved,hardest-appended,smaller-batches-smaller-learning-rate,0.9054,0.8107724959468977,4605,4449,457,489,0.9678141442311371,0.9690593875357211
728,corrects-interleaved,larger-batches-larger-learning-rate,hardest-appended,0.9054,0.8107724959468977,4605,4449,457,489,0.9682720860861064,0.9694546919801252
760,corrects-interleaved,corrects-appended,curriculum-reordered-shuffled,0.9054,0.8107797551168342,4603,4451,455,491,0.9675039145835703,0.9685076779201833
34,vinai-preprocessing,easiest-interleaved,only-corrects,0.9054,0.8107294870917717,4640,4414,492,454,0.9682686648769141,0.9693533001944753
792,smiley-reconstruction,curriculum-strict,corrects-appended,0.9054,0.8108808851306452,4583,4471,435,511,0.9675983479601029,0.968629268176409
1310,hardest-appended,corrects-appended,curriculum-reordered-shuffled,0.9054,0.8108507381983062,4588,4466,440,506,0.9682246893341984,0.9694875147709593
979,curriculum-strict,easiest-appended,larger-batches-larger-learning-rate,0.9054,0.8107284487058708,4625,4429,477,469,0.9678781268451522,0.9687475755773961
1057,baseline,drop-duplicates,mispredictions-interleaved,0.9054,0.8107628164652474,4656,4398,508,438,0.9681218529877199,0.969240420616766
956,no-easy,corrects-appended,curriculum-reordered-shuffled,0.9054,0.8107724959468977,4605,4449,457,489,0.9679724401792571,0.9689318163558642
1266,mispredictions-appended,corrects-appended,curriculum-reordered,0.9054,0.8108938519741884,4581,4473,433,513,0.9676958424185444,0.9687605852875785
603,tags-replacement,drop-duplicates,curriculum-reordered,0.9054,0.8107878672075436,4663,4391,515,431,0.9681121295510685,0.9692295558186106
1029,curriculum-strict,hardest-appended,corrects-appended,0.9054,0.8109358661146508,4575,4479,427,519,0.9681618271161758,0.969378509703553
118,vinai-preprocessing,baseline,hardest-appended,0.9054,0.8107252972289493,4632,4422,484,462,0.9686924346541042,0.9698986248460311
1011,curriculum-strict,mispredictions-appended,corrects-appended,0.9054,0.8109358661146508,4575,4479,427,519,0.9677054057986255,0.9686121165393474
557,tags-replacement,no-easy,curriculum-reordered,0.9054,0.8107693232203379,4658,4396,510,436,0.9683140009004783,0.9692929515898596
1009,curriculum-strict,mispredictions-appended,curriculum-strict-shuffled,0.9054,0.8107625801640935,4608,4446,460,486,0.9674975923490399,0.9684306746042015
981,curriculum-strict,easiest-appended,mispredictions-interleaved,0.9054,0.8107362126578157,4619,4435,471,475,0.9680180563018193,0.9690490670142899
1008,curriculum-strict,mispredictions-appended,mispredictions-interleaved,0.9054,0.8107625801640935,4608,4446,460,486,0.9680548693130099,0.969093005610923
638,tags-replacement,hardest-appended,curriculum-reordered,0.9054,0.8107258942980656,4635,4419,487,459,0.9685794947366196,0.9698030885509197
582,tags-replacement,baseline,curriculum-reordered,0.9054,0.8107878672075436,4663,4391,515,431,0.9681121295510685,0.9692295558186106
935,no-easy,mispredictions-appended,only-corrects,0.9054,0.8107268991407235,4627,4427,479,467,0.9677102675169512,0.9685489824496567
67,vinai-preprocessing,corrects-interleaved,only-corrects,0.9054,0.8107258688639798,4629,4425,481,465,0.9677692483631415,0.9686793934003339
66,vinai-preprocessing,corrects-interleaved,curriculum-reordered-shuffled,0.9054,0.8107276602743089,4638,4416,490,456,0.9680811586046971,0.9690984839600015
503,easiest-interleaved,hardest-appended,smaller-batches-smaller-learning-rate,0.9054,0.8107690609540747,4606,4448,458,488,0.9680826591350447,0.9693417732793973
940,no-easy,mispredictions-interleaved,corrects-appended,0.9054,0.8108342066747632,4591,4463,443,503,0.9683993110524982,0.9694471178093755
493,easiest-interleaved,curriculum-strict-shuffled,hardest-appended,0.9054,0.8107835792899587,4602,4452,454,492,0.9683698606435459,0.9695947658916159
1092,baseline,curriculum-strict-shuffled,only-corrects,0.9054,0.8107253663862607,4633,4421,485,461,0.9676233367921558,0.968648188480686
711,corrects-interleaved,easiest-appended,curriculum-reordered-shuffled,0.9054,0.8107255484748574,4630,4424,482,464,0.9673100860768229,0.9683059752399644
710,corrects-interleaved,easiest-appended,corrects-appended,0.9054,0.8108808851306452,4583,4471,435,511,0.9675813619565699,0.968494144447609
386,easiest-interleaved,corrects-interleaved,mispredictions-interleaved,0.9054,0.8107379609012542,4618,4436,470,476,0.96823349244557,0.9694095907438773
395,easiest-interleaved,smiley-reconstruction,curriculum-strict,0.9054,0.8107276602743089,4638,4416,490,456,0.9679338065245782,0.9690106029701663
702,corrects-interleaved,baseline,curriculum-reordered,0.9054,0.8107263530677822,4636,4418,488,458,0.9677201910243155,0.9688904657519186
